research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,58,True,800,0.9623730024231485,0.8897404976563474,-4.180785741281223e-05,True,100,0.9629520408545651,0.8891725491773466,-6.780053337102077e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,59,True,1400,0.9657055729972635,0.8667420268781649,-2.3678655350856115e-05,True,200,0.9662513472257707,0.8662618840512183,-6.780009085016747e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,61,True,600,0.9760611638914224,0.9208465057169645,-4.806471584117844e-05,True,100,0.9759745892110901,0.9209618231519326,-6.778701529341902e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,60,True,1500,0.967819427252516,0.9265939507863789,-2.0619826428480703e-05,True,300,0.9679584649093865,0.9265178091446445,-6.779188609401521e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,62,True,800,0.9590427355329276,0.9084373216030092,-4.418656468746507e-05,True,100,0.9585423309907927,0.9089441165215838,-6.77853252908367e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,64,True,800,0.9373558685306403,0.8599823205591729,-4.2171147626723915e-05,True,100,0.9375978646649014,0.8597604673178783,-6.779649040700164e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,63,True,1100,0.9880734231784183,0.9309541845657429,-3.2609322695664744e-05,True,200,0.9882265333684686,0.9308079407246472,-6.779848795512855e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,65,True,1300,0.9706952594631978,0.8817189602582262,-2.478360016866521e-05,True,200,0.9711868620619012,0.8812502503773687,-6.779792050048972e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,67,True,1000,0.973499136432896,0.8843953222603059,-3.637037228704232e-05,True,200,0.9740381773358073,0.8838878835649261,-6.779106720838923e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,66,True,1100,0.9797360054447165,0.9026508209535052,-3.286759589610222e-05,True,200,0.979849151598519,0.9025635927280075,-6.77827449933055e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,68,True,900,0.9793174989302408,0.896234765219147,-3.810400735149155e-05,True,200,0.9791237045859527,0.8964489123935181,-6.777999260815237e-05,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,69,True,1000,0.9743807906273714,0.9258518976631577,-3.51990748363451e-05,True,200,0.9747519747062252,0.9255395020776955,-6.776147564530044e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,70,True,1900,0.963007829480245,0.9117514252146751,-6.025284230992689e-06,True,400,0.9627880976276175,0.9120647355199432,-6.77955413620479e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,71,True,900,0.9656588789463931,0.9228981050030375,-3.948068191267362e-05,True,200,0.9659377718384178,0.9226701027133984,-6.779528589884176e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,72,True,900,0.9605264936264273,0.9205692281378742,-3.877724374501401e-05,True,100,0.9612928994931365,0.9198189743991169,-6.779549448548972e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,74,True,1000,0.9822771769057242,0.9012248444249145,-3.50944676555387e-05,True,200,0.9824705289243637,0.9010711293414794,-6.7770923553645e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,73,True,2100,0.9679557241051812,0.9009129476212087,2.868153626267578e-07,True,400,0.9681031137520067,0.9007981661366228,-6.780878202022889e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,75,True,1000,0.9707632957316842,0.8706390483346569,-3.5083026312277e-05,True,200,0.9707022097958796,0.8707805578171867,-6.77553696202815e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,76,True,1700,0.9402525398066947,0.8973784136597915,-1.2160677575590029e-05,True,400,0.9396909132950707,0.8979249915766497,-6.778150114605808e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,77,True,800,0.982504553334081,0.8942040763683866,-4.2629987379638745e-05,True,100,0.9829199164116083,0.8938115498533662,-6.779250922006597e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,78,True,700,0.982161053666244,0.9203521597564377,-4.579014019051586e-05,True,100,0.9822613502148624,0.9202639734435071,-6.778182601702154e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,80,True,1200,0.9736462463574977,0.9273559844774694,-2.915852900503557e-05,True,200,0.9739215711879193,0.9271418091998024,-6.777907165061992e-05,0.0,0.0
